dataset_code,layer_code,current_layer_code,model,scenario,year,version
Bio-ORACLE,BO2_RCP26_2050_curvelltmax_bdmax,BO2_curvelltmax_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelltmin_bdmax,BO2_curvelltmin_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelmax_bdmax,BO2_curvelmax_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelmean_bdmax,BO2_curvelmean_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelmin_bdmax,BO2_curvelmin_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelrange_bdmax,BO2_curvelrange_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinityltmax_bdmax,BO2_salinityltmax_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinityltmin_bdmax,BO2_salinityltmin_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinitymax_bdmax,BO2_salinitymax_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinitymean_bdmax,BO2_salinitymean_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinitymin_bdmax,BO2_salinitymin_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinityrange_bdmax,BO2_salinityrange_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_templtmax_bdmax,BO2_templtmax_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_templtmin_bdmax,BO2_templtmin_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_tempmax_bdmax,BO2_tempmax_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_tempmean_bdmax,BO2_tempmean_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_tempmin_bdmax,BO2_tempmin_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_temprange_bdmax,BO2_temprange_bdmax,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelltmax_bdmean,BO2_curvelltmax_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelltmin_bdmean,BO2_curvelltmin_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelmax_bdmean,BO2_curvelmax_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelmean_bdmean,BO2_curvelmean_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelmin_bdmean,BO2_curvelmin_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_curvelrange_bdmean,BO2_curvelrange_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinityltmax_bdmean,BO2_salinityltmax_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinityltmin_bdmean,BO2_salinityltmin_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinitymax_bdmean,BO2_salinitymax_bdmean,AOGCM,RCP26,2050,2
Bio-ORACLE,BO2_RCP26_2050_salinitymean_bdmean,BO2_salinitymean_bdmean,AOGCM,RCP26,2050,2
