dataset_code,layer_code,name,units,description,cellsize_equalarea,cellsize_lonlat,version
Bio-ORACLE,BO_dissox,Dissolved oxygen,ml/l,Dissolved oxygen concentration [02],7000,0.083333333,1
Bio-ORACLE,BO_ph,pH,unitless,Measure of acidity in the ocean.,7000,0.083333333,1
Bio-ORACLE,BO_phosphate,Phosphate,Â¾mol/l,Reactive ortho-phosphate concentration [HPO4^-2] in the ocean.,7000,0.083333333,1
Bio-ORACLE,BO_salinity,Salinity,PSS,Salinity indicates the dissolved salt content in the ocean.,7000,0.083333333,1
Bio-ORACLE,BO_silicate,Silicate,Â¾mol/l,This variable indicates the concentration of silicate or ortho-silicic acid [Si(OH)4] in the ocean,7000,0.083333333,1
Bio-ORACLE,BO_bathymin,Bathymetry (minimum),meters,Minimum depth of the seafloor,7000,0.083333333,1
Bio-ORACLE,BO_bathymax,Bathymetry (maximum),meters,Maximum depth of the seafloor,7000,0.083333333,1
Bio-ORACLE,BO_bathymean,Bathymetry (mean),meters,Average depth of the seafloor,7000,0.083333333,1
MARSPEC,MS_bathy_5m,Bathymetry,meters,Depth of the seafloor,7000,0.083333333,1
MARSPEC,MS_biogeo06_bathy_slope_5m,Bathymetric slope,degrees,Bathymetric slope was measured in degrees ranging from 0Â¤ (flat surface) to 90Â¤ (vertical slope).,7000,0.083333333,1
Bio-ORACLE,BO2_curvelmax_bdmax,Current velocity (maximum at max depth),m/s,Maximum sea water velocity at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmax_bdmean,Current velocity (maximum at mean depth),m/s,Maximum sea water velocity at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmax_bdmin,Current velocity (maximum at min depth),m/s,Maximum sea water velocity at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmean_bdmax,Current velocity (mean at max depth),m/s,Mean sea water velocity at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmean_bdmean,Current velocity (mean at mean depth),m/s,Mean sea water velocity at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmean_bdmin,Current velocity (mean at min depth),m/s,Mean sea water velocity at minimum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmin_bdmax,Current velocity (minimum at max depth),m/s,Minimum sea water velocity at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmin_bdmean,Current velocity (minimum at mean depth),m/s,Minimum sea water velocity at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelmin_bdmin,Current velocity (minimum at min depth),m/s,Minimum sea water velocity at minimum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelrange_bdmax,Current velocity (range at max depth),m/s,Range of the sea water velocity at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelrange_bdmean,Current velocity (range at mean depth),m/s,Range of the sea water velocity at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelrange_bdmin,Current velocity (range at min depth),m/s,Range of the sea water velocity at minimum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelltmax_bdmax,Current velocity (longterm max at max depth),m/s,Longterm maximum sea water velocity at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelltmax_bdmean,Current velocity (longterm max at mean depth),m/s,Longterm maximum sea water velocity at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelltmax_bdmin,Current velocity (longterm max at min depth),m/s,Longterm maximum sea water velocity at minimum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelltmin_bdmax,Current velocity (longterm min at max depth),m/s,Longterm minimum sea water velocity at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelltmin_bdmean,Current velocity (longterm max at mean depth),m/s,Longterm minimum sea water velocity at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_curvelltmin_bdmin,Current velocity (longterm min at min depth),m/s,Longterm minimum sea water velocity at minimum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmax_bdmax,Dissolved oxygen concentration (maximum at max depth),Â¾mol/mÅ¸,Maximum mole concentration of dissolved molecular oxygen in sea water at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmax_bdmean,Dissolved oxygen concentration (maximum at mean depth),Â¾mol/mÅ¸,Maximum mole concentration of dissolved molecular oxygen in sea water at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmax_bdmin,Dissolved oxygen concentration (maximum at min depth),Â¾mol/mÅ¸,Maximum mole concentration of dissolved molecular oxygen in sea water at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmean_bdmax,Dissolved oxygen concentration (mean at max depth),Â¾mol/mÅ¸,Mean mole concentration of dissolved molecular oxygen in sea water at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmean_bdmean,Dissolved oxygen concentration (mean at mean depth),Â¾mol/mÅ¸,Mean mole concentration of dissolved molecular oxygen in sea water at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmean_bdmin,Dissolved oxygen concentration (mean at min depth),Â¾mol/mÅ¸,Mean mole concentration of dissolved molecular oxygen in sea water at minimum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmin_bdmax,Dissolved oxygen concentration (minimum at max depth),Â¾mol/mÅ¸,Minimum mole concentration of dissolved molecular oxygen in sea water at maximum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmin_bdmean,Dissolved oxygen concentration (minimum at mean depth),Â¾mol/mÅ¸,Minimum mole concentration of dissolved molecular oxygen in sea water at mean bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxmin_bdmin,Dissolved oxygen concentration (minimum at min depth),Â¾mol/mÅ¸,Minimum mole concentration of dissolved molecular oxygen in sea water at minimum bottom depth,7000,0.083333333,2
Bio-ORACLE,BO2_dissoxrange_bdmax,Dissolved oxygen concentration (range at max depth),Â¾mol/mÅ¸,Range of the mole concentration of dissolved molecular oxygen in sea water at maximum bottom depth,7000,0.083333333,2
