ID,Lon,Lat,MS_bathy_5m,BO21_tempmean_bdmean,BO21_temprange_bdmean,BO21_tempmean_ss,BO21_temprange_ss,BO21_RCP26_2050_tempmean_bdmean,BO21_RCP45_2050_tempmean_bdmean,BO21_RCP60_2050_tempmean_bdmean,BO21_RCP85_2050_tempmean_bdmean,BO21_RCP26_2100_tempmean_bdmean,BO21_RCP45_2100_tempmean_bdmean,BO21_RCP60_2100_tempmean_bdmean,BO21_RCP85_2100_tempmean_bdmean,BO21_RCP26_2050_temprange_bdmean,BO21_RCP45_2050_temprange_bdmean,BO21_RCP60_2050_temprange_bdmean,BO21_RCP85_2050_temprange_bdmean,BO21_RCP26_2100_temprange_bdmean,BO21_RCP45_2100_temprange_bdmean,BO21_RCP60_2100_temprange_bdmean,BO21_RCP85_2100_temprange_bdmean,BO21_RCP26_2050_tempmean_ss,BO21_RCP45_2050_tempmean_ss,BO21_RCP60_2050_tempmean_ss,BO21_RCP85_2050_tempmean_ss,BO21_RCP26_2100_tempmean_ss,BO21_RCP45_2100_tempmean_ss,BO21_RCP60_2100_tempmean_ss,BO21_RCP85_2100_tempmean_ss,BO21_RCP26_2050_temprange_ss,BO21_RCP45_2050_temprange_ss,BO21_RCP60_2050_temprange_ss,BO21_RCP85_2050_temprange_ss,BO21_RCP26_2100_temprange_ss,BO21_RCP45_2100_temprange_ss,BO21_RCP60_2100_temprange_ss,BO21_RCP85_2100_temprange_ss
1,2.208333333333332,52.291666666666664,-37,10.195,12.256,11.922,13.676,10.828,10.837,10.662,11.09,10.605,11.017,11.391,12.429,12.388,12.745,12.678,13.25,12.92,12.52,12.992,12.197,12.847,13.15,12.693,13.238,12.658,12.924,13.629,15.035,13.487,14.019,13.49,14.712,14.871,13.673,14.556,13.714
2,-0.125,56.29166666666666,-89,7.916,5.782,10.574,11.017,8.165,8.132,7.987,8.321,8.091,8.501,8.67,9.68,5.741,6.034,6.021,6.162,5.749,5.568,6.27,5.35,11.284,11.517,11.083,11.583,11.148,11.374,11.952,13.408,11.107,11.477,11.56,11.734,11.587,11.012,11.917,12.489
3,-9.875,53.12499999999999,-61,10.24,4.524,12.112,9.39,10.207,10.319,10.182,10.349,10.257,10.585,10.88,11.648,4.791,5.153,5.112,5.071,4.851,4.886,5.041,4.817,12.433,12.643,12.32,12.574,12.339,12.522,13.104,14.028,10.455,10.293,10.52,10.5,10.022,10.054,10.508,10.526
4,-3.625,49.87499999999999,-64,11.301,5.899,13.079,9.07,11.853,11.719,11.628,11.933,11.606,12.03,12.439,13.272,6.353,6.219,6.288,6.384,6.201,6.032,5.968,5.972,14.019,14.165,13.823,14.218,13.78,14.144,14.849,16.171,9.632,10.239,10.014,11.061,10.049,10.161,10.241,10.862
5,-10.625,55.04166666666666,-2101,3.319,0.627,12.123,6.064,3.525,3.536,3.545,3.526,3.586,3.619,3.624,3.504,0.59,0.526,0.528,0.525,0.566,0.57,0.596,0.519,12.191,12.403,12.079,12.262,12.119,12.264,12.737,13.635,7.078,7.071,7.291,7.176,6.399,6.597,7.172,7.635
6,-3.708333333333334,53.70833333333333,-32,11.008,9.619,11.404,11.288,11.71,11.599,11.474,11.823,11.432,11.974,12.33,13.3,9.801,9.946,10.264,10.363,10.075,9.989,9.915,9.506,12.269,12.413,12.052,12.514,12.01,12.366,13.013,14.358,11.922,12.287,12.338,12.489,11.832,11.823,12.141,12.805
7,-10.208333333333334,53.54166666666666,-21,11.4,7.4,11.92,8.461,11.265,11.327,11.203,11.349,11.311,11.505,11.77,12.487,7.64,7.992,8.154,8.206,7.913,7.829,8.063,7.749,12.092,12.316,11.994,12.21,12.004,12.171,12.724,13.608,9.577,9.406,9.657,9.593,9.09,9.1,9.649,9.743
8,-3.958333333333334,51.37499999999999,-28,11.849,9.319,12.354,11.564,12.566,12.434,12.336,12.651,12.344,12.828,13.257,14.207,9.59,9.541,9.746,10.069,9.91,9.709,9.529,9.477,13.269,13.405,13.064,13.444,13.057,13.452,14.132,15.458,12.359,12.777,12.636,13.305,12.257,12.864,12.695,13.568
9,-7.875,50.95833333333333,-103,10.428,2.861,12.868,9.256,10.759,10.781,10.63,10.936,10.574,11.071,11.483,12.413,3.033,3.326,3.189,3.506,3.063,3.309,3.275,3.365,13.644,13.741,13.46,13.789,13.376,13.726,14.397,15.563,10.533,10.663,10.814,10.803,9.922,10.486,10.671,11.325
10,-10.791666666666666,50.291666666666664,-187,10.76,0.97,13.495,7.174,11.418,11.502,11.387,11.935,11.954,12.636,12.816,14.021,1.378,1.499,1.298,1.32,0.985,1.121,1.178,0.902,13.925,14.11,13.817,14.069,13.871,14.073,14.628,15.633,8.215,8.495,8.232,8.49,7.864,8.385,8.845,8.976
